Clinton Bank & Trust Company,Sq 3  Liberty  St. Helena & Bank Sts,CLINTON,LA,70722,-37.685944,145.141613,
Barrington Bank & Trust Company  National Association,201 South Hough Street,BARRINGTON,IL,60010,42.153207,-88.136039,http://www.barringtonbank.com
Barrington Bank & Trust Company  National Associat,201 South Hough Street,BARRINGTON,IL,60010,42.153207,-88.136039,
Miles Savings Bank,Main Street,MILES,IA,52064,42.15379,-90.31942,
First Federal Savings Bank of Barrington,120 South Hough St,BARRINGTON,IL,60010,42.15397,-88.136071,
Farmers Savings Bank,Main Street,RICKETTS,IA,51460,42.15406036,-95.59954834,
Fleet National Bank,830 COUNTY ROAD 64,ELMIRA HEIGHTS,NY,14903,42.154171,-76.876942,
First State Bank Shannon-Polo,1 South Linn Street,SHANNON,IL,61078,42.154556,-89.73837,http://www.fsbshannon-polo.com
Canton Co-operative Bank,671 Washington Street,CANTON,MA,2021,42.154614,-71.145632,http://www.cantoncoopbank.com
First Colonial Bank of Lake County,850 North Milwaukee Avenue,VERNON HILLS,IL,60061,42.154841,-87.915909,
The Bank of Canton,490 Turnpike Street,CANTON,MA,2021,42.155599,-71.10657,http://www.thebankofcanton.com
Holbrook Co-operative Bank,95 North Franklin Street,HOLBROOK,MA,2343,42.15581,-71.008721,http://www.holbrookcoop.com
Hudson River Bank & Trust Company,COUNTY ROUTE 7A,COPAKE,NY,12516,42.156,-73.56969,
Steuben Trust Company,38 SOUTH MAIN STREET,ANDOVER,NY,14806,42.156573,-77.795252,
Suburban Bank of Barrington,333 North Northwest Highway,BARRINGTON,IL,60010,42.156884,-88.128291,
NBT Bank  National Association,1256 FRONT STREET,BINGHAMTON,NY,13901,42.157021,-75.896171,
Manufacturers and Traders Trust Company,109 WEST WATER STREET,PAINTED POST,NY,14870,42.157705,-77.093922,
HSBC Bank USA,1019 CENTER STREET,HORSEHEADS,NY,14845,42.157769,-76.822841,
First American Bank,One Bank Lane,BUFFALO GROVE,IL,60089,42.15786,-87.960126,
Ludlow Savings Bank,33 Center Street,LUDLOW,MA,1056,42.158129,-72.484602,
National Bank of Delaware County,131-135 Delaware Street,WALTON,NY,13856,42.158167,-75.113032,
The National Bank of Delaware County,131-135 Delaware Street,WALTON,NY,13856,42.158167,-75.113032,http://www.natbkdelco.com
First National Bank of Painted Post,190 West Water Street,PAINTED POST,NY,14870,42.15831,-77.094865,
First National Bank of Salamanca,103 Main Street,SALAMANCA,NY,14779,42.158656,-78.7149,
Fleet National Bank,103 MAIN STREET,SALAMANCA,NY,14779,42.158656,-78.7149,
First Tier Bank & Trust,107 Main Street,SALAMANCA,NY,14779,42.15876,-78.714867,
Manufacturers and Traders Trust Company,23 MAIN STREET,BEMUS POINT,NY,14712,42.158767,-79.391387,
Salamanca Federal Savings Association,127 Main Street,SALAMANCA,NY,14779,42.158883,-78.714771,
Chemung Canal Trust Company,222 NORTH HAMILTON STREET,PAINTED POST,NY,14870,42.158985,-77.091765,
Village Bank and Trust,444 North Rand Road,BARRINGTON,IL,60010,42.159162,-88.046886,
State Bank and Trust,444 North Rand Road,BARRINGTON,IL,60010,42.159162,-88.046886,http://www.statebat.com
Cattaraugus County Bank,100 MAIN STREET,SALAMANCA,NY,14779,42.159181,-78.714742,
Salamanca Federal Savings and Loan Association,127 Main St,SALAMANCA,NY,14779,42.159338,-78.714728,
Community Bank  National Association,125 MAIN STREET,SHERMAN,NY,14781,42.159362,-79.593436,
Manufacturers and Traders Trust Company,47-49 FRONT STREET,BINGHAMTON,NY,13905,42.159537,-75.895417,
Community State Bank,Main Street,PATON,IA,50217,42.16071,-94.25425,http://www.csbpaton.com
Randolph Co-operative Bank,50 South Main Street,RANDOLPH,MA,2368,42.160792,-71.042314,
Tri-County State Bank,Main Street,ZEARING,IA,50278,42.16101,-93.30116,
HSBC Bank USA,1320 FRONT STREET,BINGHAMTON,NY,13901,42.161977,-75.89334,
Fleet National Bank,122 MAIN STREET,RANDOLPH,NY,14772,42.161992,-78.97604,
State Bank of Randolph,122 Main Street,RANDOLPH,NY,14772,42.161992,-78.97604,
Cattaraugus County Bank,117 MAIN STREET,RANDOLPH,NY,14772,42.162056,-78.975755,
Delaware National Bank of Delhi,ROUTE 28,KELLY CORNERS,NY,12455,42.1637001,-74.64884949,
Randolph Savings Bank,129 North Main Street,RANDOLPH,MA,2368,42.164976,-71.042924,http://www.randolphsavings.com
Chemung Canal Trust Company,602 SOUTH MAIN STREET,HORSEHEADS,NY,14845,42.165156,-76.819348,
American Enterprise Bank,600 North Buffalo Grove Road,BUFFALO GROVE,IL,60089,42.165396,-87.965147,http://www.americanenterprisebank.com
Valley Bank & Trust,401 Main Street,MAPLETON,IA,51034,42.165921,-95.7931,http://www.valleybankmapleton.com
First State Bank of Mapleton,402 Main Street,MAPLETON,IA,51034,42.165921,-95.793074,http://www.fsbmapleton.com
First Midwest Bank/Deerfield  National Association,725 Waukegan Road,DEERFIELD,IL,60015,42.165937,-87.845221,
Heritage Bank for Savings,330 Whitney Avenue,HOLYOKE,MA,1040,42.166092,-72.643448,
HSBC Bank USA,309 SOUTH MAIN STREET,HORSEHEADS,NY,14845,42.166423,-76.820153,
Citizens Bank of Saline,100 West Michigan Avenue,SALINE,MI,48176,42.166603,-83.781438,
Home Valley Bank,103 South Kerby Avenue,CAVE JUNCTION,OR,97523,42.167261,-123.648716,http://www.homevalleybank.com
Firstar Bank North Shore,700 Deerfield Road,DEERFIELD,IL,60015,42.167301,-87.845033,
Deerfield Federal Savings and Loan Association,745 Deerfield Road,DEERFIELD,IL,60015,42.16731,-87.846238,
Farmers Savings Bank & Trust-Vinton,401 B Avenue,VINTON,IA,52349,42.1676,-92.026791,http://www.fsb-vinton.com
Hawkeye Bank of Vinton,110 West Fourth Street,VINTON,IA,52349,42.167696,-92.024532,
HSBC Bank USA,124 DELAWARE ST,WALTON,NY,13856,42.167901,-75.129102,
Algonquin State Bank  National Association,2400 Huntington Drive North,LAKE IN THE HILL,IL,60102,42.16851,-88.333449,http://www.algonquinstatebank.com
First National Bank of Lawton,Main Street,LAWTON,MI,49065,42.17019,-85.85012,
BANK OF WASHTENAW,450 Michigan Avenue,SALINE,MI,48176,42.170355,-83.773257,
First National Bank of Tama County,402 Main,DYSART,IA,52224,42.170457,-92.306278,
Dysart State Bank,301 Main Street,DYSART,IA,52224,42.17176,-92.306245, 
Citizens State Bank,Main Street,CLEARWATER,NE,68726,42.17184,-98.18836,
Citizens State Bank,522 Main Street,CLEARWATER,NE,68726,42.172509,-98.18838, 
GreatBank,234 South Randall Road,LAKE IN THE HILL,IL,60102,42.173091,-88.335381,http://www.greatbank.com
South Weymouth Savings Bank,88 Pleasant Street,WEYMOUTH,MA,2190,42.173829,-70.952132,
Neponset Valley Bank and Trust Company,305 Turnpike Street,CANTON,MA,2021,42.175138,-71.112198,
Winside State Bank,Main Street,WINSIDE,NE,68790,42.1758,-97.17092, 
Harris Bank Huntley,10604 Vine Street,HUNTLEY,IL,60142,42.177875,-88.42701,
National Bank of Delaware County,ROUTE 10,HAMDEN,NY,13782,42.17873001,-74.9983902,
Cambridge Bank,1100 South Rand Road,LONG GROVE,IL,60047,42.178997,-88.077822,http://www.cambank.com
NBT Bank  National Association,67 MAIN STREET,MAINE,NY,13802,42.17904,-76.06328,
NBD Highland Park Bank  National Association,513 Central Avenue,HIGHLAND PARK,IL,60035,42.17944717,-87.80589294,
First Bank of Highland Park,1835 First Street,HIGHLAND PARK,IL,60035,42.17944717,-87.80589294,http://www.firstbankhp.com
Center Point Bank and Trust Company,901 Bank Court,CENTER POINT,IA,52213,42.18049,-91.774622,http://www.centerpointbank.com
First Bank & Trust of Idaho,Main Street,MALAD CITY,ID,83252,42.18078232,-112.2620468,
Breda Savings Bank,Main Street,BREDA,IA,51436,42.18161,-94.97849, 
Hudson River Bank & Trust Company,2628 ROUTE 23,HILLSDALE,NY,12529,42.183311,-73.499941,
Ireland Bank,33 Bannock Street,MALAD CITY,ID,83252,42.185949,-112.245461,http://www.ireland-bank.com
MidCounty Bank and Trust Company,157 Central Street,NORWOOD,MA,2062,42.18684387,-71.20331573,
Story County State Bank,522 Broad Street,STORY CITY,IA,50248,42.187088,-93.597096,
F&M Bank-Iowa Story County,522 Broad Street,STORY CITY,IA,50248,42.187088,-93.597096,
Randall-Story State Bank,606 Broad Street,STORY CITY,IA,50248,42.187095,-93.595734,http://www.randallstory.com
Highland Park Federal Savings and Loan Association,1920 N Sheridan Rd,HIGHLAND PARK,IL,60035,42.187367,-87.797847,
Farmers State Bank of Concord,Main Street,CONCORD,MI,49237,42.1875,-84.65293121,
State Bank of Coloma,209 North Paw Paw Street,COLOMA,MI,49038,42.187957,-86.306201,
First National Bank of Watervliet,332 North Main Street,WATERVLIET,MI,49098,42.188479,-86.260156,
American Chartered Bank of Lake Zurich,459 South Rand Road,LONG GROVE,IL,60047,42.188483,-88.104323,
Wilber National Bank,MAIN STREET,HALCOTT CENTER,NY,12430,42.18849,-74.49152,
American National Bank of New York,Main Street,HALCOTT CENTER,NY,12430,42.18849,-74.49152,
First of America Bank-Security,16333 Trenton Road,SOUTHGATE,MI,48195,42.189369,-83.193007,
NBD Bank Lake Zurich  National Association,One First Bank Plaza,LONG GROVE,IL,60047,42.189453,-88.105737,
Center Point Bank and Trust Company,720 Main Street,CENTER POINT,IA,52213,42.190078,-91.784799,
Norwood Co-operative Bank,11 Central Street,NORWOOD,MA,2062,42.19051,-71.201928,http://www.norwoodbank.com
Fleet National Bank,1 WEST MAIN STREETS,FRIENDSHIP,NY,14739,42.1906662,-78.13587952,
Illinois State Bank,1301 Pyott Road,LAKE IN THE HILL,IL,60102,42.190843,-88.307467,
Millbury Savings Bank,109 Elm Street,MILLBURY,MA,1527,42.190957,-71.761359,http://www.millburysavings.com
National Bank of Delaware County,MAIN STREET,ANDES,NY,13731,42.19129,-74.77818,
Millbury National Bank,18 Main Street,MILLBURY,MA,1527,42.191983,-71.760714,http://www.mnbonline.com
Keybank National Association,MAIN STREET,TANNERSVILLE,NY,12485,42.19282,-74.17677,
Farmers Savings Bank & Trust-Traer,611 Second Street,TRAER,IA,50675,42.193378,-92.465069,http://www.fsb-traer.com
Scituate Federal Savings Bank,72 Front Street,SCITUATE,MA,2066,42.194187,-70.725273,http://www.scituatefederal.com
First Community Bank and Trust,100 North Main Street,TRAER,IA,50675,42.19443,-92.465442,
Success National Bank,One Marriott Drive,PRAIRIE VIEW,IL,60069,42.194679,-87.928876,
Great Barrington Savings Bank,244 Main Street,GREAT BARRINGTON,MA,1230,42.195183,-73.361765,
Guaranty Federal Savings Bank,23333 Eureka Rd,TAYLOR,MI,48180,42.197722,-83.26087,
New Guaranty Federal Savings and Loan Association,23333 Eureka Road,TAYLOR,MI,48180,42.197722,-83.26087,
Horizon Bank and Trust Company,501 John Mahar Highway,BRAINTREE,MA,2184,42.198304,-70.99969,
Cary Grove Savings and Loan Association,407 Lincoln Avenue,FOX RIVER GROVE,IL,60021,42.198313,-88.220201,
NBD Bank  National Association,407 Lincoln Avenue,FOX RIVER GROVE,IL,60021,42.198313,-88.220201,
Heritage Federal Savings Bank,20600 Eureka Road,TAYLOR,MI,48180,42.198397,-83.236094,
Heritage Bank,250 Pioneer Street,ASHLAND,OR,97520,42.198717,-122.712767,
Tioga State Bank,MAIN STREET,VAN ETTEN,NY,14889,42.19904,-76.56273,
Midwest Bank National Association,101 West Main Street,PIERCE,NE,68767,42.199049,-97.527422,http://www.midwestbanks.com
National City Bank of Michigan/Illinois,2595 Waukegan Road,DEERFIELD,IL,60015,42.199382,-87.862503,
First of America Bank-Illinois  National Associati,2595 Waukegan Road,DEERFIELD,IL,60015,42.199382,-87.862503,
National Bank of North East,17 West Main Street,NORTH EAST,PA,16428,42.20079422,-79.83317566,
Wyandotte Savings Bank,3200 Biddle Avenue,RIVERVIEW,MI,48192,42.200947,-83.150284,
Braintree Co-operative Bank,1010 Washington Street,BRAINTREE,MA,2184,42.201692,-71.007266,
The Braintree Co-operative Bank,1010 Washington Street,BRAINTREE,MA,2184,42.201692,-71.007266,http://www.braintreecooperative.com
First Colonial Bank/Highwood,Ten Highwood Avenue,HIGHWOOD,IL,60040,42.201947,-87.809984,
Community Savings Bank,200 Main Street,HOLYOKE,MA,1040,42.202068,-72.604818,
Charter Bank,3058 First Street,RIVERVIEW,MI,48192,42.2025,-83.149998,
Braintree Savings Bank,865 Washington Street,BRAINTREE,MA,2184,42.203761,-71.005045,
City State Bank,59 Fourth Street North,CENTRAL CITY,IA,52214,42.204661,-91.524518,http://www.csb4me.com
Chambers State Bank,Main Street,CHAMBERS,NE,68725,42.2047,-98.73823, 
Park National Bank of Holyoke,378 High Street,HOLYOKE,MA,1040,42.204714,-72.609852,
PeoplesBank,314 High Street,HOLYOKE,MA,1040,42.205639,-72.608926,http://www.bankatpeoples.com
Peoples Savings Bank,314 High Street,HOLYOKE,MA,1040,42.205639,-72.608926,
City Co-operative Bank,300 High Street,HOLYOKE,MA,1040,42.205876,-72.608687,
First of America Bank-Van Buren,2 East Main Street,HARTFORD,MI,49057,42.206893,-86.166636,
Vanguard Savings Bank,143 Chestnut Street,HOLYOKE,MA,1040,42.207136,-72.610167,
Harris Bank Cary-Grove,122 West Main Street,CARY,IL,60013,42.208664,-88.241689,
First Security Bank of Cary-Grove,45 Highway 14,CARY,IL,60013,42.209272,-88.241336,
Tioga State Bank,1 Main Street,SPENCER,NY,14883,42.209633,-76.493077,http://www.tiogabank.com
Midwest Bank of Mc Henry County,8 East Depot Street,UNION,IL,60180,42.21027374,-88.52829742,
Cohoes Savings Bank,320 WEST BRIDGE STREET,CATSKILL,NY,12414,42.214268,-73.884969,
German-American State Bank,Main Street,GERMAN VALLEY,IL,61039,42.21427,-89.47686,http://www.germanamericanstatebank.com
Trustco Bank  National Association,238 WEST BRIDGE STREET,CATSKILL,NY,12414,42.214654,-73.880827,
Weymouth Co-operative Bank,744 Broad Street,WEYMOUTH,MA,2189,42.21626,-70.927991,
East Weymouth Savings Bank,744 Broad Street,WEYMOUTH,MA,2189,42.21626,-70.927991,
Weymouth Bank,744 Broad Street,WEYMOUTH,MA,2189,42.21626,-70.927991,http://www.weymouthbank.com
South Shore Co-operative Bank,195 Washington Street,WEYMOUTH,MA,2188,42.216343,-70.96388,http://www.sscbank.com
Suburban National Bank of Lake County,1175 Corporate Woods Parkway,VERNON HILLS,IL,60061,42.216391,-87.943399,
Northwest Bank of Winnebago County,2470 Eastrock Drive,ROCKFORD,IL,61109,42.21657944,-89.05117798,
Fleet National Bank,21 WEST MAIN STREET,CUBA,NY,14727,42.217047,-78.276342,
Community Bank  National Association,17-19 WEST MAIN STREET,CUBA,NY,14727,42.217118,-78.276127,
HSBC Bank USA,335 MAIN STREET,CATSKILL,NY,12414,42.217768,-73.864985,
Catskill National Bank and Trust Company,335 Main Street,CATSKILL,NY,12414,42.217768,-73.864985,
Catskill Savings Bank,341 Main Street,CATSKILL,NY,12414,42.217913,-73.865043,
Trustco Bank  National Association,345 MAIN STREET,CATSKILL,NY,12414,42.21801,-73.865081,
Tanners National Bank of Catskill,345 Main Street,CATSKILL,NY,12414,42.21801,-73.865081,
First Tier Bank & Trust,27 WATER STREET,CUBA,NY,14727,42.218396,-78.283379,
Bank of Greene County,425 Main Street,CATSKILL,NY,12414,42.220399,-73.865951,
Valley Bank of Illinois,Bell School Road And Harrison Avenue,CHERRY VALLEY,IL,61016,42.22056198,-88.96192169,
Greene County Commercial Bank,425 Main Street,CATSKILL,NY,12414,42.220581,-73.8661,http://www.thebankofgreenecounty.com
The Bank of Greene County,425 Main Street,CATSKILL,NY,12414,42.220581,-73.8661,http://www.thebankofgreenecounty.com
Lake Forest National Bank,990 South Waukegan Road,LAKE FOREST,IL,60045,42.222138,-87.873094,
Steuben Trust Company,11 SCHUYLER STREET,BELMONT,NY,14813,42.223224,-78.033858,
Johnson Bank Illinois,920 South Waukegan Road,LAKE FOREST,IL,60045,42.223304,-87.873178,
First National Bank of Newark Valley,2 North Main Street,NEWARK VALLEY,NY,13811,42.223928,-76.183781,
NBT Bank  National Association,2 NORTH MAIN STREET,NEWARK VALLEY,NY,13811,42.223928,-76.183781,
Security Savings and Loan Association,222 South Sixth Street,ORETECH,OR,97601,42.224098,-121.781489,
Klamath First Federal Savings and Loan Association,540 Main Street,ORETECH,OR,97601,42.224355,-121.783021,
First State Bank,120 West Center,CONRAD,IA,50621,42.224547,-92.874187,
The First State Bank,120 West Center,CONRAD,IA,50621,42.224547,-92.874187,http://www.firststatebankia.com
Hawkeye Bank & Trust,Main And Sixth Streets,GRUNDY CENTER,IA,50638,42.224549,-92.82351,
NBT Bank  National Association,MAIN STREET,AFTON,NY,13730,42.22579,-75.52787,
Interfirst Federal Savings Bank,2250 W Michigan Ave,YPSILANTI,MI,48197,42.228086,-83.643836,
Bank of Klamath Country,Main Street,ORETECH,OR,97601,42.2281,-121.77811,
Tioga State Bank,73 MAIN STREET,CANDOR,NY,13743,42.228387,-76.338562,
Allstate Bank,544 Lakeview Parkway  3rd Floor,VERNON HILLS,IL,60061,42.22875214,-87.97185516,http://www.allstatebank.com
State National Bank & Trust Company,116 West First Street,WAYNE,NE,68787,42.229191,-97.0181,
The State National Bank & Trust Company,116 West First Street,WAYNE,NE,68787,42.229191,-97.0181,http://www.state-national-bank.com
South Valley Bank & Trust,5215 South Sixth Street,ORETECH,OR,97601,42.22960281,-121.786972,http://www.southvalleybank.com
Crystal Lake Bank and Trust Company  National Association,70 North Williams Street,CRYSTAL LAKE,IL,60014,42.23075485,-88.33236694,http://www.crystallakebank.com
Crystal Lake Bank and Trust Company  National Asso,70 North Williams Street,CRYSTAL LAKE,IL,60014,42.23075485,-88.33236694,
Community State Bank,Main Street,WHITING,IA,51063,42.23147,-96.09726,
Farmers & Merchants State Bank of Wayne,321 Main,WAYNE,NE,68787,42.23165,-97.01777,http://www.fmsbwayne.com
Wayne Federal Savings and Loan Association,321 Main Street,WAYNE,NE,68787,42.23165,-97.01777,
First Colonial Bank of McHenry County,350 Commonwealth Drive,CRYSTAL LAKE,IL,60014,42.232368,-88.314195,
Sloan State Bank,302 Fourth Street,SLOAN,IA,51055,42.232508,-96.228312,http://www.sloanstatebank.com
NBD Ann Arbor  National Association,125 South Main Street,ANN ARBOR,MI,48108,42.23278046,-83.70148468,
Dedham Institution for Savings,55 Elm Street,DEDHAM,MA,2026,42.233098,-71.181616,http://www.dedhamsavings.com
Farmers Savings Bank,123 Main Street,DANBURY,IA,51019,42.233715,-95.721787,
BayBank South,858 Washington Street,DEDHAM,MA,2026,42.234673,-71.1832,
First National Bank of Wayne,Main Street,WAYNE,NE,68787,42.23553,-97.017809,
First Iowa Bank,307 South Main Street,MONTICELLO,IA,52310,42.23577,-91.184947,
The First National Bank of Wayne,Main Street,WAYNE,NE,68787,42.23652,-97.01781,http://www.fnbwayne.com
State Bank of Belmont,Main Street,BELMONT,NY,14813,42.2368,-78.08165,
Citizens State Bank,117 West First Street,MONTICELLO,IA,52310,42.238068,-91.18979,http://www.citizensstateonline.com
Magna Bank,102 West First Street,MONTICELLO,IA,52310,42.238101,-91.189567,
First of America Bank - Vernon Hills,2 Phillip Road,VERNON HILLS,IL,60061,42.23861,-87.959747,
Hawthorn Bank,208 Oak Creek Plaza,MUNDELEIN,IL,60060,42.239166,-87.989979,
First Colonial Bank/Mundelein,2000 South Lake Street,MUNDELEIN,IL,60060,42.239288,-87.994233,
Pilgrim Co-operative Bank,48 South Main Street,COHASSET,MA,2025,42.240378,-70.801805,http://www.bankpilgrim.com
Cohasset Savings Bank,13 Elm Street,COHASSET,MA,2025,42.240484,-70.800748,
Trustcorp Bank,301 West Michigan Avenue,YPSILANTI,MI,48197,42.240948,-83.616552,
Bank One  Ypsilanti  National Association,133 West Michigan Avenue,YPSILANTI,MI,48197,42.240975,-83.613668,
First Federal Savings and Loan Association of Crys,1 E Crystal Lake Ave,CRYSTAL LAKE,IL,60014,42.241144,-88.32083,
Hingham Institution for Savings,55 Main Street,HINGHAM,MA,2043,42.241295,-70.887919,http://www.hinghamsavings.com
Home State Bank  National Association,40 Grant Street,CRYSTAL LAKE,IL,60014,42.241869,-88.320238,http://www.homestateonline.com
Exchange Bank of Lake County,173 East Hawthorn Parkway,VERNON HILLS,IL,60061,42.241928,-87.960402,
Homestead Savings Bank,415 South Superior Street,ALBION,MI,49224,42.242773,-84.753013,http://www.homesteadsavings.com
Lincoln Trust Company,11 Fearing Road,HINGHAM,MA,2043,42.243139,-70.889951,
Hudson River Bank & Trust Company,ONE HUDSON CITY CENTRE,HUDSON,NY,12534,42.244012,-73.769156,
UNITED BANK & TRUST-WASHTENAW,305 East Eisenhower Parkway,ANN ARBOR,MI,48108,42.244071,-83.737908,
